,,,,,,,,,"Mor ality Rates by State and Sex, 2003-2021",,,,,,,,,,
State,2003-Total,2004-Total,2005-Total,2006-Total,2007-Total,2008-Total,2009-Total,2010-Total,2011-Total,2012-Total,2013-Total,2014-Total,2015-Total,2016-Total,2017-Total,2018-Total,2019-Total,2020-Total,2021-Total
Alabama,64.9,62.7,63.8,60.2,61.6,58.8,61.6,60,57,54.1,54.7,52.6,49.1,49,46.7,45.8,41.9,40.8,40
Alaska,55.7,57.4,51,46.2,55.2,53,55.3,49.4,49.4,50,47,40.3,41.5,38.4,31.4,31.4,30.5,32.1,33.1
Arizona,48.3,46.2,43.3,43,39.4,38.6,39.9,39,36.8,37.1,35.4,33.2,34.5,30.4,30.6,27.9,25.4,25.3,26.3
Arkansas,67.4,68.9,70.4,65.4,63.7,67.8,64.7,63,61.3,60.8,60.5,56.2,57.1,53.1,51,47.4,45.7,45.9,44
California,43.8,42.3,41.5,40.3,39.4,38.1,37.8,36.6,34.8,33.2,32.1,30.6,29.9,27.7,26.6,25,23.7,22.4,22.6
Colorado,41.4,39.1,38.5,37.9,45.9,36.5,36.2,35.2,32.7,31.4,29.8,29,27.5,27.6,24.8,23,23.2,22.5,20.5
Connecticut,49.1,49.8,47.2,47.1,57,43.8,43,44.3,40.7,37.6,37.9,36.8,34.6,34.1,31.5,30,28.3,28.3,27.2
Delaware,62.4,65.9,62.4,59.7,63.8,58,51.9,58.3,52.1,52.4,47.7,45.9,46.1,43.7,41.3,39.1,35.8,34.6,33
District of Columbia,51.3,50.7,49.4,47.1,45.9,49.6,41.5,38.5,40,40.3,42.9,39.2,32.1,28.4,30.8,24.6,28.1,24.2,27.8
Florida,54.6,54.1,52.7,51.3,64.4,48.9,48,47.5,45.3,44.5,42.8,40.9,40.2,36.4,36,34.5,32.5,31.3,31.5
Georgia,59.1,58.4,56.3,55.8,47,50.9,51.7,49.4,48.5,48.7,46.3,45.2,42,40.5,38.9,37.7,36,33.5,33
Hawaii,37.1,37.5,40,38.7,36.1,35.8,34.4,34.1,32.8,29.5,32.3,31.9,31.9,29.2,28.5,26,26.8,23.1,23.3
Idaho,46.2,40.8,45.3,42,41.4,41.9,41.4,38.8,37.6,36.4,35.9,36.1,34.4,30.4,30.2,30.4,26.3,25.8,24.4
Illinois,55.7,54.6,52.6,52.5,53.8,52.1,50.3,49.9,48.6,47.9,46,45.8,43.3,41.8,39,36.6,35.8,34,33.8
Indiana,65.6,60.8,63,61.8,61,62.1,59.3,58.7,54.5,54.7,54.2,53.3,50,49.2,47.2,43.9,42.9,41.4,42
Iowa,52.4,53.7,54,49.4,52.4,50.5,48.7,47.8,46.8,46.2,46.9,42.7,44.9,41.4,39.6,37.9,36,35,34.4
Kansas,53.7,54.1,57,54.8,51.3,51.8,51.3,48.3,47.5,46.4,44.2,47.3,44.3,38.9,39.4,38.1,38.1,35.5,35.1
Kentucky,78.5,77,77.2,74.4,74.4,74.2,68.8,74.1,69.2,68.8,69.5,66.9,64.2,60.9,56.5,53.5,52.8,50.4,49.8
Louisiana,66.2,66.7,64.3,61.5,58.9,60.1,58.6,58,56.5,55.5,53.7,52,50.3,46.3,46.3,43.2,42.7,40.1,38.4
Maine,62.2,61,60,61.2,56.4,56.7,53.6,55.7,52.1,53.3,55.3,48,50.5,46.4,44.8,44.8,42.1,41.3,38.3
Maryland,57.1,52.9,54.9,52.7,50.1,50.1,48.6,46.1,43.8,43.5,41.1,41.3,37.6,37.6,35.9,33.4,31.7,29,29.6
Massachusets,54.7,52.1,52.1,52.7,50.7,49.3,48.7,47.4,44.9,44.4,41.4,40.6,39,37.3,35.2,33.7,32.4,29.7,29.4
Michigan,56.3,56.6,55.7,55.2,55.4,54.4,54,52.3,51,49.6,47.8,48.4,45.8,43.5,42.4,40.9,39,37.7,37.9
Minnesota,46,46.8,44.5,45,45.6,45.3,42.8,41.7,39.7,38.9,39,39.2,36.8,35,34.1,30.5,30.2,29.7,30.6
Mississippi,66.8,68.1,64.2,67.6,64.3,65.3,62.4,62,59.4,58,58.6,56.7,54.5,53.5,49.3,49.6,49.4,45.8,45.6
Missouri,61.9,65.2,62.2,62,60.1,60.1,57.1,57.3,55.1,55.9,54.9,53.7,51.2,48,46.6,44.3,42.1,41.8,41.9
Montana,52.6,48.9,52.7,48.2,51.3,48.1,40.3,40,47.6,39.1,37.7,42.2,38.9,33.6,32.5,31.8,26.9,27.5,28.2
Nebraska,47.8,47.4,48.5,47.7,48.8,45.3,44.4,46.1,42.2,43.2,42.8,41.2,41,37.5,35.9,33.4,32.5,29.5,32.7
Nevada,63.6,57.2,57.6,56,53.7,53.5,51.9,47.4,48.6,46.1,45.4,45.4,41.4,38,38.1,32.8,33.4,32.2,28.3
New Hampshire,52.1,55.1,53.7,51.4,52.9,47.5,50.4,46.1,51.6,46.8,41.8,44.2,43.1,44.8,38.6,35.6,34.2,32.4,33.3
New Jersey,50.9,48.5,48,47.1,47,45.1,42.8,42.4,41.3,39.5,38.6,37.3,34.9,33.8,31.5,30.7,28.8,26.6,25.6
New Mexico,39.6,35.8,36.5,35,37.8,36.2,32.5,34.3,30.9,32.7,30.4,29.6,29.4,27,25.6,22.5,22.3,21,21.3
New York,46.9,45.9,45.3,44.1,44.2,43.1,42.2,42.3,41.1,41.1,39.7,36.7,36.1,33.8,31.3,30.7,28.6,26.6,25.7
Nor h Carolina,58.1,59.1,59.6,59.6,56.4,56.3,53.8,54,52.4,49.8,49.1,48.3,45.6,45.2,41.9,39.7,37.9,36.1,36.9
Nor h Dakota,43.7,48.6,43.1,48.2,40.9,45.2,39.4,37.5,41.2,42.3,41.3,38.9,34.4,34.6,34.7,32.7,32.9,30.1,32
Ohio,60.6,60.2,59.3,59.3,58.9,57.2,56.8,54.9,54.6,54.3,51.3,49.7,48.9,47.6,44.7,42.9,41,38.9,39.4
Oklahoma,62.4,63,62.6,63.5,63.9,60,60,58.1,59.6,55.4,56.8,53.1,54,49.4,46.8,46.8,46.6,43.1,44.5
Oregon,55.5,54.8,54,53.2,49.8,49.8,48.2,47.2,45.9,45.3,42.2,40.1,38.5,36,34.9,32.8,31.3,30.8,32.1
Pennsylvania,53.4,53.2,54.2,52.7,52,51.6,49.4,49.1,47.6,46.9,45.1,43.8,43,41.1,38.8,37.4,35.8,33.8,33.3
Rhode Island,54,55.2,50.4,49.8,54.6,56.7,49.1,49,47.7,48.3,50.7,47.8,46.7,41.4,39.3,35.9,36.5,34.7,30.4
South Carolina,62,57.8,60.5,58.5,56.4,55.8,54.8,52.8,52,51.7,49.4,46.5,44.9,42.5,41.2,38.9,37.9,37,37.4
South Dakota,47.7,49.5,53.2,48.2,46.4,47.3,41.1,45.3,47.2,43.7,40.9,42.5,40,38.5,38.4,35.3,37.2,31.1,33.8
Tennessee,67.5,68.1,69.8,67.7,65.7,63.3,63.4,62.7,59.4,58.4,56.3,56.5,54.1,53.1,47.5,45.4,45.7,43.7,43.7
Texas,53.4,51.9,50.3,49.2,47.4,46,44.6,43.5,42.5,40.8,38.6,37.7,34.8,34,32.7,30.5,29.6,29,28.1
Utah,24.3,26.1,23.8,23.3,21.9,17.9,20.9,21.7,20.1,20.3,18.6,19.1,19,18.2,17.2,16.4,15.8,15.2,16.2
Vermont,48.3,47.4,49,49.8,56.2,52.4,50.4,53.9,49.3,42.4,42.3,48.4,40.9,41.5,39.9,36.3,32.5,32.3,30.5
Virginia,57.3,55.8,56.5,54.3,52.9,50.7,49.7,48.7,47.4,46,43.3,42.3,41.3,38.5,36.8,35.4,33.9,32.6,33.6
Washington,55.2,51.8,51.2,49.3,49.5,47.9,47.3,47,43.8,42.3,39.6,38.6,38.4,34.8,33.9,31.1,30.9,28.2,29.7
West Virginia,66.6,65.8,66.7,70.7,66.3,64,65.5,65.1,62,59.8,56.9,58.4,57.2,53,49.6,50.8,48.7,48.2,50
Wisconsin,47.5,50,48.5,47.8,48.3,47,45.4,46.3,47.4,43.5,42.4,42.1,39.8,37.9,37.5,34.8,34.5,32.8,31.6
Wyoming,49,39.8,48,44.7,46,41.3,42.1,40,38.4,37.3,35.7,32.4,31.9,30.2,30.4,29.7,29.5,25.5,31.5
U.S. Total,54.1,53.2,52.6,51.5,50.6,49.5,48.4,47.6,46,44.9,43.4,42.1,40.5,38.4,36.6,34.8,33.4,31.9,31.7